,1999_00,2000_01,2001_02,2002_03,2003_04,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,2020_21,2021_22,2022_23,2023_24
0,Tony Farmer 0.436,Lavor Postell 0.372,Felton Spencer 0.586,Jason Collins 0.391,Mamadou N'diaye 0.449,Danny Fortson 0.49,Devin Green 0.52,Michael Ruffin 0.412,Jarron Collins 0.39,Reggie Evans 0.397,Shelden Williams 0.373,Zaza Pachulia 0.387,Jimmy Butler 0.395,Jason Collins 0.561,Tyler Hansbrough 0.404,Martell Webster 0.453,Tyler Hansbrough 0.365,Rakeem Christmas 0.356,Boban Marjanovic 0.328,Sindarius Thornwell 0.403,Jimmy Butler 0.379,Nathan Knight 0.355,James Harden 0.328,Jimmy Butler 0.322,Jimmy Butler 0.316
1,Felton Spencer 0.4,Obinna Ekezie 0.366,Obinna Ekezie 0.519,Charles Oakley 0.378,Robert Archibald 0.437,Jarron Collins 0.39,Dikembe Mutombo 0.408,Corey Maggette 0.41,Ryan Hollins 0.374,Kevin Ollie 0.396,Chris Andersen 0.366,Jarron Collins 0.368,Corey Maggette 0.371,Tyler Hansbrough 0.38,Reggie Evans 0.336,Dahntay Jones 0.429,Danilo Gallinari 0.362,Andrew Harrison 0.348,Ramon Sessions 0.324,Zaza Pachulia 0.363,Khem Birch 0.311,Joel Embiid 0.325,Jimmy Butler 0.325,Shai Gilgeous-Alexander 0.314,Cody Zeller 0.31
2,Kevin Ollie 0.389,Brad Miller 0.333,Kevin Ollie 0.405,Reggie Evans 0.377,Kevin Ollie 0.431,Corey Maggette 0.384,Eddie Gill 0.4,Leon Powe 0.402,Dwayne Jones 0.359,Kevin Martin 0.365,Brian Cardinal 0.354,Ian Mahinmi 0.364,Tyler Hansbrough 0.368,Ben Hansbrough 0.368,Ian Mahinmi 0.331,Tyler Hansbrough 0.359,Ricky Rubio 0.347,Jimmy Butler 0.322,Michael Carter-Williams 0.305,Quincy Pondexter 0.347,Joel Embiid 0.299,Jimmy Butler 0.322,Nathan Knight 0.319,Willy Hernangomez 0.31,Dwight Powell 0.308
3,Brad Miller 0.362,Michael Stewart 0.333,Loren Woods 0.4,Igor Rakocevic 0.372,Zendon Hamilton 0.396,Tyson Chandler 0.353,Jarron Collins 0.378,Vassilis Spanoulis 0.4,Corey Maggette 0.358,Jerryd Bayless 0.364,Kyle Lowry 0.347,Reggie Evans 0.364,Reggie Evans 0.346,Ricky Rubio 0.347,Ramon Sessions 0.319,Jeff Withey 0.347,Mario Chalmers 0.347,James Harden 0.316,James Harden 0.285,Ian Mahinmi 0.302,James Harden 0.297,Trae Young 0.304,Joel Embiid 0.315,Joel Embiid 0.302,Joel Embiid 0.297
4,Obinna Ekezie 0.344,Ruben Wolkowyski 0.333,John Amaechi 0.383,Jiri Welsch 0.361,Jarron Collins 0.39,Elden Campbell 0.35,Corey Maggette 0.372,Bernard Robinson 0.377,Jamaal Magloire 0.357,Corey Maggette 0.36,Tyson Chandler 0.345,Hasheem Thabeet 0.358,Hakim Warrick 0.338,James Harden 0.334,James Harden 0.311,Reggie Evans 0.341,Lou Williams 0.342,Joel Embiid 0.305,Ron Baker 0.281,Joel Embiid 0.296,Josh Okogie 0.285,Bruno Fernando 0.294,Rudy Gobert 0.295,Trae Young 0.296,Mason Plumlee 0.294
5,Shawn Kemp 0.337,Michael Ruffin 0.328,Zendon Hamilton 0.364,Sean Lampley 0.337,Reggie Evans 0.382,Austin Croshere 0.349,Antonio Daniels 0.37,Ryan Hollins 0.375,Kevin Martin 0.348,Leon Powe 0.342,Tyler Hansbrough 0.341,Danilo Gallinari 0.347,Dominique Jones 0.33,Dahntay Jones 0.332,Rudy Gobert 0.308,Bismack Biyombo 0.336,Zaza Pachulia 0.326,Danilo Gallinari 0.305,Jimmy Butler 0.277,Tyson Chandler 0.295,Chris Silva 0.278,DeMar DeRozan 0.294,Giannis Antetokounmpo 0.277,Bennedict Mathurin 0.289,Danilo Gallinari 0.291
6,Danny Fortson 0.332,Corey Maggette 0.323,Marc Jackson 0.355,Reggie Slater 0.333,Keith McLeod 0.375,Dikembe Mutombo 0.329,Michael Ruffin 0.352,Antonio Daniels 0.364,Zaza Pachulia 0.335,Zaza Pachulia 0.339,Acie Law 0.336,Chris Andersen 0.344,Rodney Stuckey 0.329,Ramon Sessions 0.332,Derrick Williams 0.298,Ramon Sessions 0.331,Bismack Biyombo 0.313,Ricky Rubio 0.304,Rudy Gobert 0.27,Lou Williams 0.284,Anthony Davis 0.275,Dwight Powell 0.283,Cody Zeller 0.271,Amir Coffey 0.285,DeMar DeRozan 0.282
7,Anthony Mason 0.331,Travis Knight 0.31,Jamaal Magloire 0.349,Jermaine Jackson 0.33,Tyson Chandler 0.371,Marcus Banks 0.326,Jermaine Jackson 0.343,Steve Francis 0.352,Alexander Johnson 0.318,Devin Harris 0.337,Corey Maggette 0.332,Corey Maggette 0.337,Lance Thomas 0.313,Ryan Hollins 0.32,Cody Zeller 0.298,James Harden 0.323,DeMar DeRozan 0.303,Chasson Randle 0.3,Bam Adebayo 0.27,Danilo Gallinari 0.273,Trae Young 0.27,Brad Wanamaker 0.268,Harrison Barnes 0.269,Harrison Barnes 0.285,Josh Okogie 0.278
8,Greg Ostertag 0.324,Eric Williams 0.308,Eric Williams 0.339,Etan Thomas 0.33,Corey Maggette 0.349,Jake Voskuhl 0.325,Malik Rose 0.337,Jason Collins 0.349,Glen Davis 0.316,Ike Diogu 0.336,Chauncey Billups 0.327,Ramon Sessions 0.324,Tyson Chandler 0.31,Jeff Adrien 0.311,Steven Adams 0.298,DeMar DeRozan 0.3,James Harden 0.303,Ramon Sessions 0.292,Alex Len 0.269,James Harden 0.268,Jeff Teague 0.269,Josh Okogie 0.263,Saben Lee 0.269,Nathan Knight 0.28,Olivier-Maxence Prosper 0.277
9,Jerry Stackhouse 0.319,David Robinson 0.305,Ruben Boumtje-Boumtje 0.333,Elden Campbell 0.318,Malik Rose 0.346,Reggie Evans 0.323,Andrei Kirilenko 0.329,Melvin Ely 0.348,Chris Bosh 0.316,Kris Humphries 0.333,Dwight Howard 0.321,Omer Asik 0.319,James Harden 0.298,Reggie Evans 0.311,Ty Lawson 0.297,DeMarcus Cousins 0.298,Jared Cunningham 0.3,Spencer Dinwiddie 0.292,Rondae Hollis-Jefferson 0.263,Joakim Noah 0.262,D.J. Augustin 0.268,Wes Iwundu 0.262,Josh Okogie 0.263,Paolo Banchero 0.275,Jake LaRavia 0.275
